framenr,kanji,keyword,public,last_edited,story
93,副,"vice-",0,2017-01-10 20:55:40,"The VICE president protected my WEALTH with his army of SABER wielding soldiers."
94,別,"separate/べつ",0,2016-09-20 19:53:10,"The prisoner with the BOUND MOUTH was separated from his SABRE."
96,町,"village/まち",0,2018-06-22 01:49:48,"Unlike the town which is delimited by glued trees, the village can only afford a wall of nails around the paddy fields."
98,頂,"place on the head/onegai",0,2016-06-09 22:25:13,"You've probably noticed that even the rudest and crudest Japanese say ""Itadakimasu"" before every meal. Why? Because each person who failed to say it as a child had a *nail* driven straight into that tender PLACE ON THE HEAD (i.e. the very top of the head). That's a lesson no one will forget!"
101,了,"complete",0,2016-06-09 22:35:09,"The experiment was a complete failure! The child was made without any arms!"
103,好,"fond",0,2017-05-13 13:31:53,"A mother is fond of her child."
104,如,"likeness",0,2018-05-30 03:16:51,"All the woman share a likeness. They all have the same huge mouths that never stop talking."
106,貫,"pierce",0,2018-07-05 03:47:24,"My mum decided to get her nipples pierced with some shellfishes to get the swag"
108,呪,"curse",0,2018-05-30 03:18:08,"Having driven the nail through his head, the norther suffers the pain of having another mouth on his back."
109,克,"overcome",0,2018-05-30 03:20:21,"There is a growing desire among society for brothers and teenagers to overcome the needles."
113,多,"many",0,2016-06-10 21:06:41,"Too many tamales."
115,汐,"eventide",0,2016-06-21 20:14:17,"Water over the tamales"
119,肖,"resemblance",0,2016-06-10 23:34:53,"A small moon bears resemblance to the original one."
120,硝,"nitrate",0,2018-05-30 03:21:16,"A nitrate is a stone that when hit will generate some sparks"
123,妬,"jealous(not 嫉 or 羨)",0,2016-06-10 23:58:29,"WOMEN are JEALOUS of the STONE on my wife's ring"
127,器,"utensil",0,2017-07-02 22:39:11,"Four *mouths* sit at the four corners of the table, waiting for their utensils, ready to devour the large, spread eagled St. Bernard stretched out on the table!"
128,臭,"stinking",0,2016-11-09 19:28:58,"I can smell that stinking dog犬 as if it's right under my nose自.
⿱自犬"
129,嗅,"sniff",0,2016-06-18 20:26:55,"Your mouth stinks: you need to sniff your breath."
130,妙,"exquisite",0,2017-01-19 20:32:01,"few women are exquisite"
132,厚,"thick",0,2016-06-11 00:37:53,"I have thick muscles because I used to climb that cliff 厂 every day 日 as a child 子."
133,奇,"strange",0,2016-06-11 20:34:35,"I find it strange that so many people commit suicide in Tokyo by throwing themselves in front of the train. To me when I look at this kanji, I see a train just about to come out of a tunnel, and above the man waiting for his oppourtunity where he can end it all."
135,州,"state",0,2016-06-11 20:44:15,"There were 3 little islands in the *stream* who all decided to set themselves up as independent #states#."
136,順,"obey",0,2017-06-06 13:26:30,"""Obey, Obey!"" says the brain-washing scientist as he sends a *stream* of orders to fill your *head*."
138,氷,"icicle",0,2016-06-11 20:50:20,"Icicles start with 1 frozen *drop* of *water*"
139,永,"eternity",0,2017-06-26 04:58:34,"The drop that spilled the glass held an eternity onto the ledge

Thanks tharvey."
140,泉,"spring(not season)",0,2018-01-25 19:23:33,"A spring is the place where the water comes out and since its gurgling, it looks white.
When it changes to thermal spring, the water becomes drops instead of full liquid"
141,腺,"gland",0,2016-06-13 18:47:27,"a *body part* that acts like a *spring* for hormones is a gland"
142,原,"origin",1,2018-01-11 20:57:49,"The cave of origin has a nice thermal spring inside of the cliff that holds it.
IMAGERY IS BLURRY"
143,願,"petition",0,2017-10-24 16:57:15,"The thermal spring iside the cave of origin is the place where I petiotioned my children to bury my head in."
144,泳,"swim",0,2018-05-31 04:59:46,"Of you don't know how to swim you'll be in the water for he next eternity."
145,沼,"marsh/(not swamp)",0,2018-01-25 19:34:25,"A marsh is where *water* is *seduced* into the ground.

NO. SWAMP. NO. ITS NOT THE SAME. I THINK.,.."
147,汎,"pan-",0,2016-07-03 14:16:08,"After Pan-Am crashed yet another plane into the *water*, their reputation dropped to *mediocre*."
148,江,"creek",0,2018-06-01 01:03:09,"Since the town is full of engineers, they used an I beam instead of a bridge for the bubbly creek"
149,汰,"selection",0,2016-06-13 18:41:02,"Natural selection first began in the water, and those that were too plump were select out."
150,汁,"soup",0,2018-06-01 01:06:28,"A soup is water with ten ingredients on it. Including a holy cross"
151,沙,"grains of sand",0,2016-06-12 21:52:20,"Each *water* wave washes away a *few* grains of sand."
152,潮,"tide",0,2018-01-18 20:43:45,"Do you know why the tide lowers in the morning? It's easy actually. The sun decides to be hidden in the seawater so the water level rises on the night, on the day, the sun comes out from the water so the tide goes down.
BKURRY. REAL BLURRY"
153,源,"source",0,2017-10-24 16:56:15,"My teacher asked me to cite every source in my work besides the thermal spring in the cave of origin, I accidentally got water in my notes so he wont recieive it."
156,況,"but of course",0,2016-06-11 23:15:40,"A wet teenager is good , but of course it is illegal"
157,河,"river (not 川)",0,2016-06-11 23:31:49,"If you empty many water cans, you start a river"
158,泊,"overnight",0,2016-06-11 23:38:27,"Water turns white in the freezer overnight."
159,湖,"lake",0,2018-06-01 01:22:56,"This is my favorite story. Simply associate the sad moment of an OLD person, standing near the WATER of the lake and looking at the MOON reflected in the lake. The created primitives themselves are put so beautifully, that you will not forget this kanji."
162,吐,"spit",0,2017-06-12 02:53:34,"SPIT goes from my MOUTH to the GROUND."
163,圧,"pressure",0,2017-10-09 20:26:31,"Spiritombs pressure ability is channeled from the inmense pressure that the soil below the cliff is subject to ."
164,埼,"cape",0,2017-09-28 15:41:58,"Cape is a big promontory(a piece of land that is bigger and higher than the land surrounding it) that goes into the sea.
A cape is a stange piece of land that goes into the sea."
165,垣,"hedge",0,2018-06-01 01:28:59,"The hedge spans across all of the castle grounds, delimiting its territory as far as it spans"
166,填,"embutir",0,2018-06-01 01:36:17,"The lens of truth was embutido in the sausage package with some soil.
WATCH FOR KANDZUME"
167,圭,"squared jewel",0,2016-06-13 20:30:34,"How would you stop someone stealing your biggest square jewel? Bury it deep in the *soil* under *ground*. Then plant *ivy* to mark the spot."
168,封,"seal",0,2016-06-13 20:37:17,"You grab the ivy and you put some sticky glue on the letter and smack the ivy on it. You got a seal."
169,涯,"horizon",0,2016-06-13 20:44:59,"I'm on a boat. Water's everywhere. And then I spot a giant red cliff ridden by ivy."
170,寺,"Buddhist temple",0,2016-06-13 20:51:27,"A man walks into a Buddhist temple. Feeling the soil beneath his toes he grabs some superglue and glues himself to the Buddhist temple"
172,均,"level",0,2016-09-20 19:53:33,"*Soil* is scooped up into a *ladle*. The extra *drop* is brushed off to make it level."
174,炎,"inflammation",0,2016-06-13 22:13:42,"When you have inflammation there's always fire under and over your hand"
175,煩,"anxiety",0,2016-06-13 22:14:00,"An anxiety feels like FIRE in the HEAD."
176,淡,"pale, thin",0,2017-09-26 17:28:46,"When people get an inflamation, it is advisable to let them handle their own anger and not doing anything. There have been records of people dumping water onto inflamed and sore persons; those persons did become less inflamed but their skin turned pale and their complexion got thin."
177,灯,"lamp",0,2016-06-13 22:30:31,"A lamp is *fire* you can hang from a *nail*."
178,畑,"farm",0,2016-06-13 22:34:21,"Many farms are created by first setting FIRE over the land to clear the land for the FIELDS."
179,災,"disaster",1,2016-06-20 21:08:24,"First a flood of KKK members, then a fire.   The other way round wouldn't be such a disaster since the flood (water) would put out the fire.
(Mix of authors)"
180,灰,"ashes",0,2016-06-13 22:48:22,"The *fire* underneath the *cliff* will eventually turn everything above to ashes."
181,点,"spot/point",0,2016-06-13 22:52:16,"The FORTUNE TELLER was burned by FLAMES on the spot because she was accused of being a witch."
182,照,"illuminate",0,2016-06-13 22:58:51,"SHINING FLAMES illuminate!"
183,魚,"fish",0,2016-06-13 23:00:47,"*Bind* that FISH and *cook* his *brains*! Yarhh!"
184,漁,"fishing",0,2016-06-13 23:15:35,"The FISHING industry basically goes out into the open WATER and catches FISH."
185,里,"parents house/ri",0,2016-06-13 23:27:31,"What's a RI? Damnit, I forgot it once again! Maybe I should look it up on the COMPUTER at my parents house."
186,黒,"black",0,2016-06-14 11:22:54,"I type Fire in my giant computer and it suddenly burst into flames. The remain is soot is black."
187,墨,"black ink",0,2016-06-14 11:24:25,"Theres BLACK on the GROUND...most likely someone spilt black ink."
188,鯉,"carp",0,2016-06-14 11:41:43,"The giant purple fish in front of my parents house is a koi/carp."
189,量,"quantity/りょう",0,2016-06-14 11:42:51,"I did such a quantity of work that when NIGHT BREAK came, I was asleep on the COMPUTER."
190,厘,"rin",0,2016-06-14 11:54:28,"Grab a cliff, crush your computer under it. Remove it from there, it is now worth 1 rin. A very very small rin."
192,同,"same",0,2016-06-14 21:57:17,"*One* *mouth* under a *hood* looks the same as any other."
193,洞,"den",1,2016-06-21 20:20:27,"Bodhidharma (The daruma monk) goes up the mountain, he finds a cave in the way up. The cave has fresh water and a nice space. Bodhidharma makes this his new den.

Read the original story. It helps a lot."
194,胴,"trunk",0,2016-06-14 22:01:45,"When you chop apart all the limbs from your victim, the only thing that remains is the trunk of the monk."
195,向,"yonder",0,2016-06-14 22:14:35,"Take *one* out of *same* and put it yonder."
196,尚,"esteem",0,2016-06-14 22:24:44,"I have *little* self-esteem.. so I keep my face under a *hood* and my *mouth* shut."
197,字,"character",0,2016-06-14 22:33:51,"CHILDren learn Kanji characters underneath a HOUSE."
198,守,"guard",0,2016-06-14 22:36:44,"A GUARD is usually ""glued"" to the house he watches."
200,宣,"proclaim",0,2018-01-09 17:19:31,"A guy come into your house starts proclaiming in the span of the day."
201,宵,"wee hours",0,2016-06-14 22:57:54,"Also Evening and Early Night. So it seems to span the whole range of times when one might need a candle to work within the confines of one's house without daylight."
202,安,"relax/cheap",0,2016-06-14 23:03:42,"Cheapest place for a woman to relax is in her own home."
203,宴,"banquet",0,2016-06-14 23:07:34,"Imagine an insane BANQUET where you gather under a floating roof, and eat #suns# off a shapely #woman#. Yep. Better use chopsticks."
204,寄,"draw near",0,2016-06-15 10:55:49,"Think of the story of the monkey's paw. The parents rub it and wish for their dead son to return. There is a strange feeling under the roof as something draws near the front door."
205,富,"wealth",0,2016-08-02 20:50:34,"All the wealth is kept under the same roof."
206,貯,"savings",0,2016-06-15 11:37:53,"I keep my savings (shekels) hidden under my roof. There's a loose nail that I use as a switch to open up a secret compartment."
210,桂,"Japanese Judas-tree",0,2016-06-15 12:16:42,"Simple mnemonic : ""The Japanese Judas-tree is the *tree* on which Judas hang himself to the *ivy*"" (Judas the traitor of the Christian bible). Just picture Judas hanging himself, using *ivy* as a if it was a rope."
211,柏,"oak",0,2016-06-15 13:15:28,"The wood from oak *trees* can be used to make barrels in which *white* wine is aged. What's more, I love *white* wine with an #oaky# flavour..."
212,枠,"frame",0,2016-06-15 13:22:43,"#wood# at #90 (9 * 10)# degrees."
213,梢,"treetops",0,2016-06-15 13:26:28,"At Christmas time, on the treetops, people used to place great big *candles* (Now we usually place a star instead)"
214,棚,"shelf/たな",0,2016-06-15 13:31:59,"I enter the room with The complete Works of William Shakespeare in hand, I get in front of the shelf, separate one asscheek from the other and put the book in my beautiful shelf."
215,杏,"apricot",0,2018-06-02 20:00:59,"From the *tree* straight into the *mouth* is the best way to eat an APRICOT!"
216,桐,"paulownia(not wisteria)",0,2016-06-15 13:50:56,"Paulownia is a Japanese tree which looks same as any other tree."
217,植,"plant",0,2016-06-15 18:58:15,"Plants don't become *tree*s *straightaway*."
218,椅,"chair",0,2016-06-15 19:26:30,"To the Japanese, the first time they saw a chair, it looked like a *strange* use of *wood*!  Probably why they still like to sit on the floor..."
219,枯,"wither(not suffering)",0,2018-01-23 17:11:33,"A tree withers away as it gets old.
CONFUSED WITH FLOWER OLD"
220,朴,"crude",0,2016-07-03 14:29:47,"*Wooden wands* are the #crudest#.  They are nothing compared to their carbon fibre equivalents."
221,村,"village",0,2016-06-15 19:36:14,"Littleroot Town was surrounded by glued trees."
222,相,"inter-",0,2016-06-15 19:40:56,"An oak went into my eye. This is an internal injury."
223,机,"desk",0,2016-06-15 19:51:56,"My *wooden* desk is so messy, it looks like a strong *wind* blew my things all over it."
224,本,"book",0,2016-06-15 19:52:39,"The origin of a book is paper made out of TREEs. ONE tree can make many books."
225,札,"tag",0,2016-06-15 20:00:48,"Botanists like to identify TREEs by HOOKing tags on them."
226,暦,"calendar",0,2016-06-15 20:05:01,"You can use a calendar to count the number of DAYs it takes to grow two TREES under a CLIFF."
227,案,"plan/あん. 内",0,2018-01-13 04:37:07,"My plan is to sell cheap trees.
REMEMBERED RECESS. SINCEC WORD IS NOW ASSOCIATED, WE CAN LEARN IT TOGGETHER"
228,燥,"parch",0,2016-06-15 20:46:00,"I parch my furniture over a really big fire."
229,未,"not yet",0,2016-06-15 20:55:57,"Remember these as a set:  The tree (木) does not yet (未) have extremities (末) of vermilion (朱)."
230,末,"extremity",0,2016-06-15 20:56:11,"Remember these as a set:  The tree (木) does not yet (未) have extremities (末) of vermilion (朱)."
231,昧,"obscure",0,2016-06-15 21:23:12,"What the sun has not yet hit is obscure. (Picture the sapling)"
232,沫,"splash",0,2016-06-15 21:26:09,"When a wave crashes into the shore, the splash it generates makes the water look like extremities."
233,味,"flavour",0,2016-06-15 21:32:12,"As the food in my mouth has not yet been swallowed, the *flavour* remains."
234,妹,"younger sister",0,2016-06-15 21:35:43,"My younger sister is NOT YET a fully grown WOMAN."
235,朱,"vermilion",0,2016-06-15 21:39:31,"Remember these as a set:  The tree (木) does not yet (未) have extremities (末) of vermilion (朱)."
236,株,"stocks",0,2016-06-15 21:42:11,"Which *tree* would you buy stocks in - the healthy one on the left, or the one with only one *vermilion* leaf left on the right?"
237,若,"young",0,2018-04-16 23:55:40,"The garden that gives you the choice between senility and youthfulness. Pluck a flower on the right and you'll be eternally young.

hide 匿"
238,草,"grass",0,2016-06-15 22:54:44,"#Grass# grows *earlier* than *flowers*"
239,苦,"suffering",0,2016-06-15 22:58:34,"A very old rose that falls apart and suffers from it."
240,苛,"bullying",1,2016-06-15 23:00:07,"It is now considered bullying giving flowers in a can."
241,寛,"tolerant",0,2016-06-15 23:05:35,"A tolerant person will ignore SEEing ""nardos"" in the HOUSE of a friend."
242,薄,"dilute",1,2016-06-15 23:20:59,"My specialty with a dot? Diluting seaweed."
243,葉,"leaf",0,2016-06-15 23:33:07,"The flower generation spent far too much time up trees trying to smoke leaves."
244,模,"imitation/miniature/maqueta",0,2016-06-15 23:47:17,"The big blue tree at the graveyard is an imitation one."
245,漠,"vague/boundless",0,2018-06-02 20:09:05,"The true meaning of this kanji is closer to #boundless#--whence Heisig's keyword of #vague#, as any #boundless# concept is liable to be hard to pin down.

Now for the story. You are stuck in a seemingly #boundless# *graveyard*, but you have a vague sense that you can hear *water* flowing. You take a step and find yourself trapped in that *water*. It turns out that the *graveyard* wasn't #boundless# after all, and it is instead the *water* that is to be your grave.

砂漠(さばく): desert"
246,墓,"grave",0,2016-06-16 00:10:21,"The undertaker decides it's time for a new change of look to his workspace and decides to put a new layer of soil atop the existing one.
What's beneath the graveyard soil? Graves."
247,暮,"livelihood",0,2016-06-16 00:12:22,"He made a livelihood out of robbing GRAVEYARDS in broad DAYlight."
248,膜,"membrane",0,2016-06-16 00:18:12,"It takes a human memberane exactly a ""month"" to rot in any ""graveyard"""
249,苗,"seedling",0,2016-06-16 00:22:06,"If you plant seedlings in a FIELD eventually they will FLOWER."
250,兆,"omen",0,2016-06-16 00:31:25,"It's a bad omen when your wife legs get hair on them. 
She's turning into a turtle!"
251,桃,"peach tree",1,2016-06-20 21:49:19,"A peach tree which roots are two small hairy human legs."
252,眺,"stare",1,2016-06-20 21:45:15,"The woman has such disgusting hairy legs that whilst #staring#, your eyes popped out of their sockets and sticked to the hairy nightmare."
254,状,"status quo",0,2016-06-16 00:46:12,"a *turtle* mounting a *chihuahua* clearly disrupts the status quo"
255,黙,"silence",0,2018-01-26 18:50:43,"The *computer* won't stop beeping, which is making the *chihauhua* bark, and it's driving this guy insane. The only solution he came up with was to throw them both on the *fire* and finally enjoy the silence.
CFSED WITH SUN AND SOUND"
256,然,"sort of thing",0,2016-06-16 20:38:14,"*Flesh* of a *dog* over a cooking fire = ""hotdog"".   There are all #sorts of things# in *hot dogs*.  Believe me, you don't want to know what #sort of things# . 

Visualize the hotdog curling as it cooks, to remember the unusual way the flesh primitive curves in this kanji."
257,荻,"reed(not 蒲)",0,2016-06-16 21:30:21,"REEDS are the only FLOWERS that WILD DOGS like to FIRE up and smoke while they are playing poker."
258,狩,"hunt",0,2016-06-16 21:39:03,"When I go hunting and I kill a pack of wild dogs, I glue the dogs to the roof of my house."
260,牛,"cow",0,2016-06-16 21:52:01,"A cow tried to climb up a vermilion tree, but in doing so, it broke its two bottom branches off."
261,特,"special",0,2016-07-08 19:57:15,"A cow's Special Attack rose when it went up towards the temple."
262,告,"revelation",0,2016-06-16 22:02:12,"The book of revelation came out of the cow's mouth."
263,先,"before",0,2016-06-16 22:06:42,"BEFORE you stick it in a COW make sure she has HUMAN LEGS"""
264,洗,"wash",0,2016-06-16 22:12:01,"Don't think of the right part as ""before"". Just imagine yourself using *water* to wash a *cow* with *human legs*."
265,介,"jammed in",0,2016-06-16 22:17:00,"J and I are ""Jammed Into"" an UMBRELLA."
266,界,"world",0,2016-06-16 22:23:51,"Jam the world into a rice paddy."
267,茶,"tea",0,2016-06-16 22:25:24,"The ""flowers"" of the ""umbrella tree"" make the best TEA."
268,脊,"spinal column",0,2016-06-16 22:55:52,"Saw: One of the traps was designed to pull it's victim's *rib cage* away from their *flesh* like a macabre *umbrella*, leaving only the spinal column holding everything together."
269,合,"fit",0,2016-06-16 23:18:47,"My mouth is a circle, her mouth is a square. Meeting mouth that don't fit is frustrating."
270,塔,"pagoda",0,2016-06-16 23:29:13,"A pagoda so small that a small mound of soil with a flower on it does not fit."
272,玉,"round things/jewel",0,2016-06-16 23:32:10,"The king is said to have only one family jewel below the belt."
273,宝,"treasure",0,2016-06-16 23:34:39,"On treasure island is a single *house* - where all the * jewels* are stored."
274,珠,"pearl",0,2017-10-06 19:46:13,"The king wanted to be different from the others so he decided to make a unique kind of pearl that only he would wear. This pearl was made by a genetically modified oyster that instead of making white pearls, would make them vermillion. That's why they call him Vermillion King."
275,現,"present",0,2016-06-20 21:00:45,"La misa de cuerpo present del Rey deacpitado dejo a todos viendo cuando su cabeza cayó del ataud."
276,玩,"toy",0,2016-06-17 00:25:03,"The *ball* was the only thing that people at the *beginning* of time had to use as a toy. Poor cavemen."
277,狂,"lunatic",0,2016-06-17 00:28:24,"Oh no !  A *pack of dogs* has bitten the *king*.  He has turned into a rabid lunatic !"
278,旺,"radiance",0,2018-01-23 17:12:44,"The sun is the king of radiance.
CONFUSED WITH SUN AND ARMY"
279,皇,"emperor",0,2016-06-17 00:45:35,"Julius Caesar is an emperor dressed in white from head to toe."
280,呈,"display",0,2016-06-17 00:47:03,"Think of an evil museum that displays the *mouths* of the previous dead *kings*. Imagine the tour guide dressed up in sinister clothing saying, ""And on display here, we have the *mouth* of *King* Henry VIII""."
281,全,"whole",0,2016-06-17 00:50:52,"The fat *king* hogs the whole space under his *umbrella*."
282,栓,"plug",0,2016-06-27 06:26:40,"An arsehole so big and demanding that a whole tree is used as a buttplug."
283,理,"logic",0,2016-06-18 22:15:23,"The king of LOGIC is the computer."
284,主,"lord",0,2016-06-18 23:55:01,"Two chess pieces. Both Kings, one has a hat the other one doesn't."
285,注,"pour",0,2016-06-19 00:01:37,"Water pours out of the candlestick."
286,柱,"pillar",0,2018-06-02 20:32:10,"The great pillar at my Japanese school made not from rock but a wooden candlestick."
288,銑,"pig iron",0,2016-06-19 00:13:17,"#Pig iron# is basic/crude *metal*, that is, *before* it has been processed."
289,鉢,"bowl",0,2016-06-19 00:20:20,"Big golden coated bowl. Throw books in it. Have it give you donuts."
290,銅,"copper",0,2016-06-19 00:22:25,"Copper and *gold* are in the *same* column of the periodic table.

And now what am I going to do for 銀 {銀}????"
291,釣,"angling",0,2016-06-19 00:30:47,"All the people that go to the Japanese festivals to catch fish part time are suckers. Me? I'm a pro. I bring a big-ass #golden# #ladle#. I'm a true ANGLING professional."
292,針,"needle",0,2016-06-19 00:42:58,"Vaccine time. After a long wait, they come the syringe, a pretty small one. They pull out 10 golden needles from the drawer, each 10 meters long. You get them all in your butt."
293,銘,"inscription",0,2016-06-19 00:52:21,"Go to jewel store.  Buy a massive golden ring. Say I want inscription. Say the name of GF. Receives it. Name is badly written. The inscription is pretty though."
294,鎮,"tranquillize",1,2016-06-19 00:59:38,"*Gold* is the only thing that tranquillizes the jews enough so you can get the *truth* out of them!
(Sorry)"
295,道,"road-way",0,2016-06-19 01:43:52,"On the roadway, I glue a GPS to my neck for proper guidance."
296,導,"guidance",0,2016-06-19 01:48:33,"On the roadway, I glue a GPS to my neck for proper guidance."
297,辻,"crossing",0,2016-06-19 01:54:18,"A crossing is the place where you *cross* the *road-way*."
298,迅,"swift",0,2016-06-19 02:01:00,"The fishhook caught the swift car at the crossings."
299,造,"create",0,2018-01-25 19:10:02,"A *cow* #creates# a *road* by *eating* all the grass on its *path*.
FORGOTTEN"
300,迫,"urge",0,2016-06-19 02:11:46,"Once you start on the *road* of *white* lines, you develop #urges# for more white roads of sorrow.

Also; congrats Oscar. You are now 10% in on the process of learning all of the 3000 Kanji. Keep it up! You can do it!
19/06/16
2:11 a.m."
301,逃,"escape",0,2016-06-19 02:19:05,"You are running in a deserted road from a pair of humongously big hairy legs."
302,辺,"vicinity/あた.り",0,2018-01-23 17:07:43,"People in the vicinity of the road kill passerbies with daggers.
CONFUSED WITH NEXT FRAME"
303,巡,"patrol",0,2016-06-19 02:35:17,"The KKK moves on patrol around here in June."
305,連,"take along",0,2016-06-21 21:39:35,"Going from DF to Vegas. Need to take along huge amount of shits to avoid car breaking down middle of the road."
306,軌,"rut",0,2016-06-21 21:48:18,"You nosedive deep into a rut. Car is stuck so you need to use 9 macho men to pull it out."
307,輸,"transport",0,2016-06-22 22:55:45,"A bunch of butchers arrive to the tent in different means of transportation."
308,喩,"metaphor",0,2016-06-21 23:39:22,"Metaphors transport you with the mouth instead of a car"
310,煎,"roast",0,2018-02-06 17:58:06,"The meat roasts in front of the fire. However thanks to perspective, the meat looks as if its atop the flames..CONFUSED WITH TURKEY AND FIRE"
311,各,"each",0,2016-06-22 00:57:25,"Each walkie-talkie has a pair of legs and a little mouth."
312,格,"status",0,2017-09-26 17:42:46,"The soldier called the radio for backup.
""Hello?! This is patrol, we need backup, now!""
""Patrol this is HQ, what's your status?""
""GAH!!!...""
""Patrol?""
A tree picks up the walkie talkie and says to the microphone.
""My status? I personally think I'm clase media alta but it could vary.""
There were 15 casualties that day."
314,略,"abbreviation",0,2016-06-22 01:31:35,"Open brain. Barge in walkie-talkie. Starts to spell abbreviations. Sticks them in your brain."
315,客,"guest",0,2016-06-22 01:39:31,"Walkie-talkie given out to guests. Guests don't get to enter houses until full. When they enter they see a big walkie talkie in the stairs. Big billboard says: Honor Guest."
316,額,"forehead/ひたい",1,2016-07-04 20:25:09,"In the bank, every customer has his balance written in his head, specifically his forehead."
317,夏,"summer",0,2016-07-03 13:14:04,"In summer your body generates a blob made out of sweat and uses it to cool itself from head to legs.

AVOID WATER, USE MORE WALKING"
319,条,"article",0,2016-06-22 02:37:14,"If TREES had WALKING LEGS they would march right up to congress and demand they put in a new ARTICLE into the constitution against deforestation."
320,落,"fall",0,2017-01-24 16:08:40,"Walkie talkie throw itself out of a plane and uses seaweed as parachute."
